hospital_id,num_samples,baseline_auc,without_auc,contribution,contribution_pct
1,89,0.8058823529411765,0.7898692810457516,0.01601307189542489,1.987023519870242
2,89,0.8058823529411765,0.7947712418300654,0.011111111111111072,1.3787510137875052
3,89,0.8058823529411765,0.8098039215686275,-0.0039215686274509665,-0.48661800486617834
4,89,0.8058823529411765,0.8130718954248366,-0.007189542483660105,-0.8921330089213269
5,96,0.8058823529411765,0.8107843137254902,-0.004901960784313708,-0.6082725060827229
