algorithm,mu,partition_type,alpha,final_auc,convergence_std,avg_weight_drift
FedAvg,0.0,dirichlet,0.1,0.8127450980392158,0.0015618043327252792,0.0
FedProx,0.01,dirichlet,0.1,0.8127450980392158,0.0015635129037785056,0.040460414210093214
FedProx,0.1,dirichlet,0.1,0.811437908496732,0.0014501116164923687,0.03998420301055588
FedProx,0.5,dirichlet,0.1,0.8094771241830065,0.0006535947712418167,0.037947112091414235
