peptide_target	TCGA-EJ-8468-01A	TCGA-EJ-A7NH-01A	TCGA-KK-A8I7-01A	TCGA-CH-5748-01A	TCGA-HC-7079-01A	TCGA-EJ-5509-01A	TCGA-EJ-A8FU-01A	TCGA-J9-A8CN-01A	TCGA-EJ-5505-01A	TCGA-VN-A88P-01A	TCGA-EJ-8470-01A	TCGA-EJ-7321-01A	TCGA-CH-5743-01A	TCGA-EJ-7792-01A	TCGA-KC-A4BN-01A	TCGA-J9-A52E-01A	TCGA-KK-A5A1-01A	TCGA-J4-A67O-01A	TCGA-EJ-7325-01B	TCGA-EJ-5497-01A	TCGA-V1-A8MF-01A	TCGA-CH-5737-01A	TCGA-J4-A83I-01A	TCGA-YL-A8HJ-01A	TCGA-M7-A721-01A	TCGA-X4-A8KQ-01A	TCGA-J9-A8CP-01A	TCGA-V1-A9OH-01A	TCGA-EJ-7330-01A	TCGA-KC-A7F3-01A	TCGA-KK-A7AZ-01A	TCGA-CH-5761-01A	TCGA-KK-A8IB-01A	TCGA-EJ-A65F-01A	TCGA-2A-AAYO-01A	TCGA-HC-7740-01A	TCGA-G9-7523-01A	TCGA-2A-A8VX-01A	TCGA-EJ-A46G-01A	TCGA-J4-A83J-01A	TCGA-J4-8198-01A	TCGA-FC-7961-01A	TCGA-2A-AAYU-01A	TCGA-CH-5769-01A	TCGA-G9-6363-01A	TCGA-EJ-5532-01A	TCGA-EJ-AB27-01A	TCGA-CH-5741-01A	TCGA-G9-6353-01A	TCGA-G9-6347-01A	TCGA-Y6-A9XI-01A	TCGA-ZG-A9L9-01A	TCGA-YL-A8SR-01B	TCGA-YL-A9WL-01A	TCGA-G9-6339-01A	TCGA-KK-A6E0-01A	TCGA-EJ-A65M-01A	TCGA-CH-5752-01A	TCGA-EJ-8474-01A	TCGA-G9-6379-01A	TCGA-EJ-7793-01A	TCGA-ZG-A8QZ-01A	TCGA-YL-A9WY-01A	TCGA-KK-A6E1-01A	TCGA-EJ-5504-01A	TCGA-G9-6366-01A	TCGA-ZG-A9L5-01A	TCGA-HC-7211-01A	TCGA-EJ-7788-01A	TCGA-G9-7510-01A	TCGA-YL-A8HM-01A	TCGA-YL-A8SJ-01B	TCGA-EJ-A7NF-01A	TCGA-CH-5768-01A	TCGA-EJ-7789-01A	TCGA-FC-7708-01A	TCGA-EJ-7785-01A	TCGA-HC-7081-01A	TCGA-4L-AA1F-01A	TCGA-KC-A7FA-01A	TCGA-ZG-A9L0-01A	TCGA-EJ-5510-01A	TCGA-EJ-5517-01A	TCGA-EJ-5496-01A	TCGA-M7-A71Z-01A	TCGA-EJ-5519-01A	TCGA-KK-A59X-01A	TCGA-J4-A67M-01A	TCGA-EJ-5507-01A	TCGA-TP-A8TV-01A	TCGA-2A-A8VV-01A	TCGA-EJ-AB20-01A	TCGA-CH-5765-01A	TCGA-KK-A8ID-01A	TCGA-EJ-5498-01A	TCGA-FC-A8O0-01A	TCGA-ZG-A9MC-01A	TCGA-KC-A7FD-01A	TCGA-CH-5792-01A	TCGA-KK-A6E8-01A	TCGA-KK-A8IH-01A	TCGA-EJ-A8FS-01A	TCGA-HI-7171-01A	TCGA-KC-A4BO-01A	TCGA-KK-A8I4-01A	TCGA-EJ-5495-01A	TCGA-QU-A6IP-01A	TCGA-ZG-A9M4-01A	TCGA-EJ-7786-01A	TCGA-KK-A59V-01A	TCGA-KK-A8IJ-01A	TCGA-V1-A9Z8-01A	TCGA-G9-6329-01A	TCGA-TP-A8TT-01A	TCGA-VN-A88K-01A	TCGA-YL-A9WX-01A	TCGA-ZG-A8QY-01A	TCGA-KC-A4BV-01A	TCGA-V1-A8MU-01A	TCGA-EJ-5503-01A	TCGA-WW-A8ZI-01A	TCGA-ZG-A8QX-01A	TCGA-EJ-A6RC-01A	TCGA-CH-5745-01A	TCGA-EJ-7794-01A	TCGA-G9-6498-01A	TCGA-CH-5789-01A	TCGA-CH-5788-01A	TCGA-J4-A67K-01A	TCGA-EJ-7115-01A	TCGA-EJ-5512-01A	TCGA-ZG-A9L4-01A	TCGA-EJ-A7NK-01A	TCGA-EJ-A7NN-01A	TCGA-ZG-A9LZ-01A	TCGA-G9-7521-01A	TCGA-CH-5740-01A	TCGA-KK-A8II-01A	TCGA-QU-A6IN-01A	TCGA-G9-6371-01A	TCGA-EJ-7218-01B	TCGA-J4-A67R-01A	TCGA-V1-A9ZG-01A	TCGA-J9-A8CM-01A	TCGA-HC-7233-01A	TCGA-EJ-A8FN-01A	TCGA-VP-AA1N-01A	TCGA-YL-A9WI-01A	TCGA-KC-A7F5-01A	TCGA-J4-8200-01A	TCGA-J4-A67T-01A	TCGA-YL-A8HK-01A	TCGA-M7-A720-01A	TCGA-ZG-A9LY-01A	TCGA-2A-A8VO-01A	TCGA-EJ-A6RA-01A	TCGA-EJ-7784-01A	TCGA-KK-A59Y-01A	TCGA-V1-A9Z7-01A	TCGA-EJ-7317-01A	TCGA-KK-A6E2-01A	TCGA-KK-A8I6-01A	TCGA-KK-A7B1-01A	TCGA-KK-A7B0-01A	TCGA-H9-A6BY-01A	TCGA-KK-A8IC-01A	TCGA-CH-5739-01A	TCGA-VN-A88L-01A	TCGA-FC-A66V-01A	TCGA-YJ-A8SW-01A	TCGA-KC-A7FE-01A	TCGA-KK-A8I5-01A	TCGA-G9-7522-01A	TCGA-EJ-7314-01A	TCGA-V1-A8X3-01A	TCGA-HC-8264-01B	TCGA-EJ-A65J-01A	TCGA-HC-7212-01A	TCGA-CH-5767-01A	TCGA-HC-7077-01A	TCGA-EJ-A65D-01A	TCGA-HC-7736-01A	TCGA-ZG-A9LM-01A	TCGA-EJ-A46D-01A	TCGA-2A-A8VT-01A	TCGA-G9-6367-01A	TCGA-G9-6384-01A	TCGA-CH-5766-01A	TCGA-CH-5794-01A	TCGA-G9-A9S4-01A	TCGA-Y6-A8TL-01A	TCGA-KK-A7B3-01A	TCGA-EJ-7125-01A	TCGA-ZG-A9KY-01A	TCGA-YL-A8S9-01A	TCGA-EJ-5531-01A	TCGA-YL-A8HO-01A	TCGA-YL-A9WK-01A	TCGA-EJ-5508-01A	TCGA-EJ-5527-01A	TCGA-EJ-7331-01A	TCGA-YL-A8SH-01B	TCGA-G9-6373-01A	TCGA-VN-A88I-01A	TCGA-YL-A8SP-01B	TCGA-YL-A8SI-01A	TCGA-G9-6496-01A	TCGA-HC-7232-01A	TCGA-EJ-5521-01A	TCGA-VP-A87E-01A	TCGA-CH-5750-01A	TCGA-KK-A6E4-01A	TCGA-EJ-A65B-01A	TCGA-EJ-8469-01A	TCGA-M7-A723-01A	TCGA-EJ-5494-01A	TCGA-KK-A59Z-01A	TCGA-VP-A875-01A	TCGA-H9-7775-01A	TCGA-EJ-5526-01A	TCGA-G9-6362-01A	TCGA-KK-A7AP-01A	TCGA-HC-7817-01B	TCGA-G9-6364-01A	TCGA-2A-A8W1-01A	TCGA-CH-5791-01A	TCGA-CH-5764-01A	TCGA-G9-6361-01A	TCGA-KC-A4BL-01A	TCGA-ZG-A9L6-01A	TCGA-CH-5772-01A	TCGA-EJ-A46B-01A	TCGA-EJ-5525-01A	TCGA-EJ-A46E-01A	TCGA-HC-7748-01A	TCGA-EJ-7791-01A	TCGA-CH-5790-01A	TCGA-CH-5763-01A	TCGA-J4-A83N-01A	TCGA-ZG-A9LS-01A	TCGA-EJ-7312-01B	TCGA-V1-A9O5-01A	TCGA-EJ-5542-01A	TCGA-ZG-A9L1-01A	TCGA-G9-6342-01A	TCGA-HI-7169-01A	TCGA-V1-A9OQ-01A	TCGA-HC-A76X-01A	TCGA-G9-6378-01A	TCGA-EJ-7783-01A	TCGA-G9-6356-01A	TCGA-VP-A87K-01A	TCGA-J9-A52C-01A	TCGA-EJ-5515-01A	TCGA-HC-7213-01A	TCGA-CH-5762-01A	TCGA-J4-A67Q-01A	TCGA-EJ-5518-01A	TCGA-G9-6338-01A	TCGA-EJ-7315-01A	TCGA-KK-A8IF-01A	TCGA-M7-A722-01A	TCGA-KK-A8I8-01A	TCGA-VP-A87J-01A	TCGA-CH-5744-01A	TCGA-EJ-A65E-01A	TCGA-YL-A8S8-01A	TCGA-EJ-5502-01A	TCGA-SU-A7E7-01A	TCGA-EJ-A7NG-01A	TCGA-TK-A8OK-01A	TCGA-CH-5738-01A	TCGA-XA-A8JR-01A	TCGA-EJ-7318-01B	TCGA-HC-7210-01A	TCGA-J9-A8CK-01A	TCGA-EJ-5530-01A	TCGA-ZG-A8QW-01A	TCGA-EJ-5506-01A	TCGA-ZG-A9LB-01A	TCGA-J4-A6M7-01A	TCGA-G9-7525-01A	TCGA-V1-A8MJ-01A	TCGA-V1-A9OY-01A	TCGA-KK-A8IA-01A	TCGA-H9-A6BX-01A	TCGA-KK-A6E3-01A	TCGA-EJ-A8FO-01A	TCGA-YL-A8SQ-01B	TCGA-G9-A9S0-01A	TCGA-CH-5754-01A	TCGA-ZG-A9NI-01A	TCGA-G9-6494-01A	TCGA-M7-A71Y-01A	TCGA-YL-A8SK-01B	TCGA-V1-A9OT-01A	TCGA-HI-7168-01A	TCGA-EJ-5516-01A	TCGA-EJ-5522-01A	TCGA-V1-A9ZR-01A	TCGA-V1-A9ZI-01A	TCGA-EJ-A7NJ-01A	TCGA-FC-A4JI-01A	TCGA-KC-A4BR-01A	TCGA-EJ-7781-01A	TCGA-EJ-5524-01A	TCGA-G9-6343-01A	TCGA-2A-A8VL-01A	TCGA-EJ-7328-01A	TCGA-YL-A8SC-01A	TCGA-ZG-A9LU-01A	TCGA-KK-A7B4-01A	TCGA-2A-A8W3-01A	TCGA-CH-5751-01A	TCGA-V1-A8WL-01A	TCGA-EJ-5511-01A	TCGA-M7-A724-01A	TCGA-G9-6370-01A	TCGA-EJ-5514-01A	TCGA-G9-6351-01A	TCGA-FC-A6HD-01A	TCGA-KC-A7F6-01A	TCGA-M7-A725-01A	TCGA-V1-A9OL-01A	TCGA-EJ-5499-01A	TCGA-YL-A8SF-01A	TCGA-YL-A8HL-01A	TCGA-KK-A7B2-01A	TCGA-G9-6377-01A	TCGA-V1-A9Z9-01A	TCGA-J4-A67N-01A	TCGA-EJ-A46F-01A	TCGA-YL-A9WJ-01A	TCGA-EJ-7782-01A	TCGA-V1-A9OX-01A	TCGA-YL-A8SL-01B	TCGA-YL-A8SA-01A	TCGA-G9-A9S7-01A	TCGA-KK-A7AU-01A	TCGA-CH-5771-01A	TCGA-ZG-A9N3-01A	TCGA-VP-A878-01A	TCGA-2A-AAYF-01A	TCGA-HI-7170-01A	TCGA-G9-6365-01A	TCGA-CH-5753-01A	TCGA-EJ-A7NM-01A	TCGA-G9-6499-01A	TCGA-EJ-5501-01A	TCGA-HC-7744-01A	TCGA-FC-A5OB-01A	TCGA-EJ-7797-01A
1433BETA	0.47188	0.094829	0.1873	0.080599	0.50738	0.040551	0.14453	0.10891	0.063152	0.15394	0.20473	-0.097682	0.072633	0.093919	0.27393	-0.033596	0.14983	0.084044	0.21361	0.047783	0.13385	-0.056213	0.18959	0.11482	0.081142	0.13901	0.33511	0.069743	0.10175	0.19	0.038044	0.21187	0.15164	-0.03126	0.19533	0.18643	0.16405	0.11379	0.10792	0.1944	0.18091	0.20767	0.096779	0.15089	0.20081	0.1143	0.1985	0.011407	0.14575	0.12448	0.12139	0.12759	0.11507	0.24216	0.11183	0.11912	0.19192	0.093847	0.19374	0.21721	0.2874	0.074618	0.10034	0.054063	0.10869	-0.020648	0.052772	0.33102	0.19936	0.084135	0.025871	0.063034	0.12419	0.013294	0.15539	0.24431	0.034965	0.333	0.13288	0.23998	0.21588	0.4201	0.081364	0.051189	0.0015893	0.080383	0.26786	0.082386	0.037644	0.18615	0.068338	0.1793	0.095168	-0.041265	0.20397	0.14506	0.11627	0.15184	0.16826	0.12397	0.13451	0.18978	0.19012	0.31108	0.22542	0.30825	-0.055726	0.15838	0.07626	0.16061	-0.043622	-0.00055931	0.30289	0.2398	0.22247	0.15899	0.15054	0.38211	0.19714	0.30549	0.022788	0.042677	0.227	0.11249	0.2456	0.15488	-0.0037263	-0.0053236	0.028265	0.39843	0.1146	0.1721	0.027272	0.049867	0.078755	0.11512	-0.02101	0.020975	0.14887	0.32872	0.019025	0.069474	0.03936	0.076821	0.16096	0.056314	0.18246	0.089532	0.042312	0.12051	0.13867	-0.0075233	0.039626	0.14363	0.10018	0.11456	-0.0041772	0.40744	0.013934	0.11944	-0.005337	0.16885	0.2414	0.086523	0.092503	0.092181	0.14094	0.20687	0.018194	0.10862	0.14864	0.19622	0.1443	0.079904	0.1696	0.30538	0.098821	0.058491	0.10972	0.1372	-0.00056852	0.11089	0.12461	0.57873	0.069897	0.11317	0.21527	0.20254	0.071643	0.071808	0.27247	0.18992	0.33118	0.077235	0.1637	0.02973	0.11152	0.17893	0.023567	0.1857	0.10802	0.20623	0.079815	0.2279	-0.0046722	0.12961	0.061245	0.16856	0.22781	0.1117	-0.017047	-0.027459	0.19782	0.15122	0.13333	0.18263	0.35124	0.040691	0.28129	0.23431	0.13216	0.066427	0.1475	0.60688	0.050487	0.12377	0.24574	0.12544	0.10337	0.26741	0.11742	0.099713	0.25202	0.18643	0.053032	0.14443	0.064663	0.16147	0.45696	0.13147	0.14838	-0.016134	0.16839	0.13387	0.12549	0.20478	0.056294	-0.043376	0.1434	0.00050999	0.10374	-0.028689	0.15185	0.045373	-0.0086771	0.1407	0.23491	0.075869	0.26736	0.064636	0.1893	0.013915	0.071539	0.076199	0.091583	0.31253	0.076329	0.01045	0.02964	0.03838	0.26162	0.23082	0.49147	0.074241	0.41506	0.0976	0.19252	0.043733	0.019768	0.095604	0.097462	0.2659	0.18905	0.26743	0.14175	0.041692	0.19236	0.16679	0.11131	0.01746	0.22759	0.066082	0.42572	0.11569	0.13399	0.11107	0.34256	0.048022	0.2072	0.14701	-0.010417	0.048197	0.020814	0.56579	0.09951	0.12112	0.20275	0.084098	0.21166	0.70191	0.071785	0.07035	0.11544	0.0096625	0.1261	0.36121	0.081841	0.19794	0.13729	0.08912	0.067993	0.10811	0.065667	0.12699	0.23461	0.008821	-0.04207	0.18369	0.095829	-0.051798	0.11486	0.1946	0.11236	0.097416	0.12369	0.59004	0.037277	0.062696	0.12922	0.055335	0.1096	0.12582	0.11091	0.15668	0.042593	0.14601	0.051386	0.28327	0.091937	0.056957	0.18856	0.35939
1433EPSILON	0.20784	-0.092689	0.050871	0.26213	0.028221	0.16595	0.11621	0.15432	0.37939	0.14439	-0.04717	0.30013	0.045685	0.085762	0.01536	0.12108	0.095878	0.09032	0.13819	0.18236	0.13572	0.30163	-0.040933	0.14451	0.030923	0.057896	0.3501	0.076581	0.16748	0.0076667	0.10816	0.10049	0.067773	0.031992	0.20488	0.072015	0.18367	0.022605	0.043526	0.032906	0.05644	-0.087064	0.064587	0.017941	0.095163	0.19548	0.16013	0.1304	0.19181	0.18112	0.18805	0.019367	0.17213	0.029727	0.11528	0.13642	0.065083	0.22229	0.21964	0.14709	-0.054125	0.10366	0.13722	0.022368	-0.070706	0.4607	0.044216	0.15006	0.14759	0.28217	-0.0042113	0.04943	0.075593	0.15174	0.35272	0.12865	-0.011003	-0.19313	-0.002697	0.082404	-0.028804	-0.12316	0.15561	0.089304	0.17621	0.088039	0.0045715	0.068041	0.11742	0.14774	0.082678	0.0034744	0.2483	0.054576	-0.005519	0.29773	0.031005	0.085315	0.088687	0.087944	0.13486	0.1102	0.070719	0.058394	0.074316	0.14432	-0.04802	0.1004	0.18174	-0.030962	0.12704	0.15177	-0.03663	0.18438	0.17563	0.06608	0.13693	-0.071543	0.11204	-0.098977	0.19591	0.16303	0.067944	0.24746	0.11464	0.15249	0.009349	0.31043	-0.062708	0.055138	0.062427	0.15661	0.092727	0.10915	-0.004313	0.083864	0.16486	0.065694	-0.052604	0.094319	0.046318	0.04585	0.20913	0.13896	0.18242	0.22101	-0.006841	0.15018	0.062642	0.10944	0.021669	0.08608	0.13641	0.064379	0.16151	0.097621	0.21333	-0.17104	0.052787	0.13736	0.26253	0.022813	0.11694	0.15662	0.08484	0.086971	0.040256	0.27281	0.027729	0.082352	0.069548	0.073291	0.16818	-0.043363	0.017273	0.096102	0.077146	0.034388	0.18218	0.061228	0.030544	0.014913	0.036901	-0.13003	0.135	0.16671	-0.061706	0.1323	0.063137	0.013463	0.050083	0.11181	0.061009	0.10516	0.12468	0.022498	0.19225	0.09393	0.12089	0.095137	0.18017	0.063228	0.0813	0.24836	0.1513	0.17092	0.20879	0.19638	0.064842	0.042664	0.020901	0.050819	0.041721	-0.1236	0.08556	0.22088	0.17644	0.089711	0.045002	0.051235	0.0079572	0.024269	0.093528	-0.042768	0.063577	0.11589	0.13555	0.18251	-0.0049902	0.16996	0.043169	0.0027163	0.061828	-0.11589	0.0065148	0.066182	0.12112	0.14282	0.10441	0.093291	0.23486	0.057993	-0.0068741	0.22388	0.12267	0.073321	0.1317	0.068085	0.29898	0.023819	0.0027556	-0.019082	0.13649	0.12776	-0.074494	0.3579	-0.024156	0.31272	0.068342	-0.016109	0.039367	0.16955	0.07364	0.12413	0.1057	0.086167	0.046192	0.025449	0.081356	0.11325	-0.032965	0.036829	0.38394	0.023266	-0.03078	0.047313	-0.0042127	0.109	0.17418	-0.017263	0.092325	0.0061944	0.12211	0.05846	0.10419	0.11698	-0.030376	0.12314	0.0522	0.095927	-0.045711	0.14313	0.10351	0.09918	-0.055547	0.15311	0.087701	-0.0093505	0.25813	0.030596	0.015491	0.088204	0.13606	0.001171	0.26356	0.039302	0.21038	0.044714	0.033736	-0.5274	0.070135	-0.015067	0.040488	0.095931	0.078089	-0.083963	0.21059	0.035777	-0.044931	0.14022	0.17367	0.13412	0.00087218	0.080592	0.085105	0.20289	0.080673	0.094806	0.11448	0.12101	0.020281	-0.015839	0.15106	0.090205	0.19477	-0.022568	0.087164	0.13414	0.097702	0.06239	0.040124	0.058676	0.15621	0.10884	0.29216	0.26551	-0.079647	0.1784	-0.0051165	0.15548	0.10618	-0.04467
1433ZETA	-0.20007	-0.24683	-0.14636	-0.42937	0.010142	-0.34515	-0.27196	-0.6087	-0.40035	0.16057	0.10578	-0.2834	-0.20322	-0.33574	-0.14965	-0.47322	-0.13928	-0.26917	-0.16024	-0.27602	-0.22812	-0.50174	-0.14181	-0.012568	-0.28084	-0.10193	0.1173	-0.10841	-0.44639	-0.25511	0.096497	0.047096	-0.58308	-0.087186	0.24065	-0.16126	-0.093479	-0.19918	-0.17833	-0.22866	-0.32449	-0.079167	-0.065731	-0.19108	-0.25526	-0.2701	0.10855	-0.54759	-0.36418	-0.085812	-0.46628	0.024289	-0.18586	-0.12133	-0.15349	-0.2024	-0.21666	-0.55691	-0.4099	0.11112	-0.21632	-0.17197	0.33826	-0.38329	-0.2282	0.1135	0.16672	0.37544	-0.086924	-0.10248	-0.4242	-0.24327	-0.29974	-0.49096	0.046433	-0.1529	-0.3575	0.23827	-0.17393	-0.34018	-0.081809	-0.022891	-0.090589	-0.25295	-0.41322	-0.24813	-0.090092	-0.36658	-0.10451	-0.48725	-0.20533	0.087095	-0.28518	-0.50385	-0.17716	-0.08904	-0.37456	-0.21254	-0.29082	-0.11544	-0.12943	-0.22856	-0.11631	0.036713	-0.11916	0.0062534	-0.25277	-0.22494	-0.31215	0.08212	-0.30562	-0.13851	0.12187	-0.07425	0.028499	-0.30689	-0.6537	0.0023921	-0.12914	-0.10567	-0.24179	-0.38339	-0.10846	-0.33044	-0.34025	-0.27484	-0.37358	-0.48569	-0.23388	0.065519	-0.29897	-0.14836	-0.16851	-0.19179	-0.17026	0.37922	-0.49338	-0.28977	-0.17908	0.074348	-0.49266	-0.1273	-0.17585	-0.13786	-0.38013	-0.39469	-0.24804	-0.38842	-0.42159	-0.086468	-0.36743	-0.20984	-0.18864	-0.40343	-0.069341	-0.088386	-0.29429	0.44307	-0.27889	-0.050486	-0.1549	-0.2589	-0.13652	-0.20864	-0.43472	-0.397	-0.28122	-0.02906	-0.3851	0.0098366	-0.28414	-0.12885	-0.041839	-0.14068	-0.27252	0.03515	-0.28014	-0.20239	-0.25392	0.1202	-0.41994	-0.086497	-0.21916	0.02157	-0.25691	-0.0294	-0.2038	-0.16376	-0.41484	-0.1823	-0.29542	-0.091451	0.16335	-0.35159	-0.44619	-0.378	-0.16787	-0.085408	-0.2257	-0.22951	-0.34403	-0.37958	0.22515	0.28187	-0.4748	-0.21903	-0.13531	-0.22566	-0.063149	-0.36596	-0.40005	-0.33341	-0.11576	0.036025	-0.16091	-0.16542	0.23911	-0.28027	-0.049565	0.055796	-0.045258	-0.36351	-0.095567	0.10842	-0.47384	-0.26741	-0.43154	-0.23335	0.20255	0.033353	-0.28088	-0.29568	0.25696	-0.19732	-0.23283	-0.28265	-0.26548	-0.37839	-0.42216	-0.22664	-0.099642	-0.31134	-0.20603	-0.10957	-0.31902	0.012352	-0.47987	-0.34323	-0.2024	-0.33357	-0.28534	-0.095596	-0.13689	-0.31545	0.11811	-0.25671	-0.30179	-0.34444	-0.19072	-0.19176	-0.20177	-0.23458	-0.12642	-0.1334	-0.47682	-0.26302	-0.18258	-0.42741	-0.24396	-0.25372	-0.32328	-0.27003	0.60272	-0.38383	-0.08558	0.20992	-0.076084	-0.48827	-0.22855	-0.12677	0.017712	0.18829	-0.0066447	0.013251	-0.20414	-0.20521	-0.18465	0.023842	-0.33152	-0.075002	-0.15347	0.16349	0.2035	-0.26336	-0.020388	-0.12735	-0.26708	-0.27667	-0.15775	-0.15248	-0.11594	-0.32122	0.32944	0.17736	-0.18384	-0.11938	-0.25482	-0.11827	-0.010099	-0.58808	-0.11961	-0.36451	-0.86556	0.18186	-0.075864	0.14618	-0.2629	-0.017799	-0.086245	-0.23574	-0.020759	-0.1406	-0.11278	-0.067356	-0.1013	-0.088277	-0.21341	-0.32499	0.06441	-0.29995	-0.46844	-0.099956	0.060153	-0.29021	-0.34328	-0.26236	-0.33239	0.00097967	-0.16177	-0.34894	0.20938	-0.34354	-0.11627	-0.18399	-0.21639	-0.46409	-0.42864	-0.18976	-0.38362	-0.37699	-0.2548	0.31551
4EBP1	-0.35562	0.18452	-0.27894	0.33111	0.14634	0.26571	-0.10605	0.035115	0.18928	0.10387	-0.085513	-0.052333	0.35638	-0.26879	-0.55606	0.31205	-0.5979	-0.28978	0.098999	0.15393	0.99797	0.29924	-0.88673	0.092741	-0.57836	0.059563	-0.063291	-0.05712	-0.55737	-0.36874	-0.070182	-0.11295	0.55122	-0.29971	-0.02688	-0.30165	-0.42594	0.22194	-0.26368	-0.65597	0.12513	0.89582	0.58377	0.35538	0.62705	-0.34066	0.12347	0.12768	0.45801	-0.43619	-0.071737	0.09183	-0.44725	0.17662	-0.3231	0.37292	-0.36118	0.58222	0.1128	-0.2708	-0.46114	0.14597	0.12952	0.0093691	0.43571	-0.21521	0.22207	0.29331	-0.19487	-0.22992	0.1566	-0.17656	-0.35234	0.071575	-0.37791	0.22103	0.42133	-0.25862	0.0046199	-0.26319	0.24673	-0.33748	-0.30223	0.50309	0.23747	0.24718	0.23423	0.012981	0.15231	0.87262	-0.48608	-0.39811	0.55627	-0.26828	-0.66546	0.45682	-0.5391	0.33192	-0.11211	-0.24623	0.59271	-0.35517	0.023208	-0.63068	0.055998	0.14264	0.64699	-0.15991	0.080495	0.48043	-0.48155	0.044377	-0.40884	0.2521	0.16921	-0.26892	0.40156	-0.6111	-0.10101	-0.173	-0.021932	-0.076903	-0.24704	0.32436	-0.72043	-0.70214	-0.25121	0.79391	-0.60786	-0.90853	-0.27739	0.049059	-0.53976	0.18216	0.20686	-0.53845	0.4019	0.085622	0.35393	-0.20114	-0.0063099	-0.60502	-0.43312	0.43549	0.13814	0.47652	-0.63967	0.82507	0.20296	-0.11472	-0.063983	-0.22715	0.88861	-0.31306	-0.18859	0.25435	0.54481	-0.50663	1.2649	-0.15243	0.82567	-0.50579	0.94895	-0.28079	0.21315	0.34598	0.38448	0.072635	0.84801	-0.49103	-0.10899	0.20498	-0.14237	-0.28396	-0.14658	0.49779	0.032072	0.12785	0.017509	0.60142	0.30544	-0.40562	-0.50339	-0.36214	-0.25432	-0.082316	-0.28032	-0.31279	-0.44875	-0.25724	-0.44887	0.070388	-0.5075	-0.18015	0.11648	-0.21072	0.35411	-0.068969	0.17778	0.04451	-0.096351	-0.72663	0.82414	-0.077927	0.95339	0.048017	0.11553	-0.33661	0.18512	-0.13723	0.2489	0.40888	-0.098564	0.10033	0.20599	0.01565	-0.24433	0.13802	0.34628	0.2317	-0.096501	0.35089	1.1161	-0.29947	0.15871	0.27632	-0.68677	0.17958	-0.12173	0.045704	-0.3145	-0.54956	0.37425	-0.42258	0.55397	0.018692	-0.14915	-0.1943	-0.83734	0.076237	-0.32185	0.27642	0.22366	0.020223	0.12244	0.066179	-0.004158	0.46752	-0.2739	-0.38316	0.46002	-0.046891	-0.16595	-0.37191	-0.051179	0.19613	-0.29134	0.016028	0.27965	0.014274	0.59259	-0.5645	1.0239	-0.11092	-0.38913	-0.5832	-0.24615	-0.1852	-0.19654	-0.0948	-0.54665	-0.43671	0.21325	-0.063689	-0.8734	0.59916	0.20146	0.091391	-0.42166	-0.61163	0.75525	0.87541	0.052036	-0.1003	0.65898	-0.40307	-0.28241	-0.21781	0.23381	0.70736	-0.39066	-0.72427	-0.32184	-0.19042	-0.43457	0.031693	-0.66862	0.22939	0.13446	-0.17238	0.19729	-0.44938	0.35139	0.089968	-0.29171	-0.1199	-0.15509	-0.47246	0.33543	-0.60282	0.063174	0.06088	-0.018434	0.3519	-0.064589	-0.077166	0.37358	-0.54812	0.19473	-0.025869	0.30626	0.87567	-0.044152	0.41265	-0.37854	0.48379	-0.24835	-0.092061	0.13226	-0.069841	-0.40498	-0.36128	-0.4977	0.01353	0.21476	-1.275	0.031276	-0.019079	-0.032909	-0.49178	-0.12409	-0.54748	0.23535	-0.36288	0.66726	-0.5742	0.18793	-0.54124	-0.43357	0.99924	-0.097923	-0.40234
