K,equal_global_auc_mean,equal_global_auc_std,imbalanced_global_auc_mean,imbalanced_global_auc_std,equal_free_rider_auc_mean,equal_free_rider_auc_std,imbalanced_free_rider_auc_mean,imbalanced_free_rider_auc_std,global_auc_pvalue,free_rider_auc_pvalue
2,0.7861111111111112,0.00280075083151187,0.7860130718954249,0.0029075786169327164,0.7999261871565653,0.015066235785887267,0.7942089643216493,0.017482264991356,0.27887299924889214,0.16905268424208608
4,0.7872222222222222,0.0032300082256368776,0.7872875816993464,0.0032497859891353373,0.8048293586209188,0.040912552865968996,0.7801156582553203,0.04524465700029827,0.591051231783252,0.2226333363601233
6,0.7863398692810458,0.0029765483756171982,0.7863398692810458,0.0030228316548620085,0.7766599137042486,0.0524783724481155,0.7845603055088515,0.05161015092902718,0.999999999999921,0.6756543274013181
