round,test_loss,test_auc,avg_local_loss
1,0.638813599464865,0.7245098039215686,0.6190225609340807
2,0.6177107044611326,0.7336601307189542,0.5948345371972523
3,0.6051484364675684,0.75359477124183,0.5777845360778557
4,0.5959921261453323,0.7660130718954248,0.5638332854857324
5,0.5886519297988151,0.7725490196078431,0.5518397278804146
6,0.5824586599293715,0.7754901960784314,0.5412935888659849
7,0.5770753936267347,0.7794117647058824,0.5318892565109332
8,0.5723118980798813,0.7813725490196078,0.5234159622586938
9,0.5680500780213736,0.784967320261438,0.5157179278068839
10,0.5642097995749933,0.784640522875817,0.5086752591702706
11,0.560732162971328,0.7856209150326798,0.5021930841757876
12,0.5575710000841362,0.7879084967320262,0.49619476044042843
13,0.5546884098956617,0.788888888888889,0.49061737111103254
14,0.5520523186849726,0.7908496732026143,0.48540860651564255
15,0.549635071403362,0.792156862745098,0.4805245282486184
16,0.5474125578542026,0.7931372549019607,0.4759279175991506
17,0.5453636238837136,0.7921568627450981,0.47158702442517236
18,0.5434696410399255,0.7937908496732027,0.4674745990709831
19,0.5417141699796643,0.7964052287581699,0.46356712997850186
20,0.5400826839696605,0.7980392156862745,0.4598442344811736
21,0.5385623344611346,0.7993464052287581,0.4562881661104011
22,0.5371417486039921,0.8,0.4528834121289364
23,0.5358108525702414,0.8006535947712419,0.4496163620003334
24,0.534560716618515,0.8019607843137255,0.44647503233965213
25,0.5333834189275934,0.8019607843137255,0.443448837317463
26,0.5322719258441276,0.8029411764705883,0.44052839597286636
27,0.5312199865704587,0.803921568627451,0.4377053697280928
28,0.5302220405814504,0.8049019607843139,0.43497232478019043
29,0.5292731362620225,0.8045751633986927,0.43232261510275005
30,0.5283688594266902,0.8058823529411765,0.42975028261009635
31,0.5275052705313228,0.807843137254902,0.4272499716787485
32,0.5266788495210437,0.8091503267973856,0.42481685572953065
33,0.525886447379109,0.8091503267973856,0.42244657397979746
34,0.5251252435509425,0.8104575163398693,0.4201351768019176
35,0.5243927085159183,0.8107843137254902,0.41787907838865507
36,0.5236865708676528,0.8117647058823529,0.4156750156414996
37,0.5230047883421318,0.811437908496732,0.4135200123743221
38,0.5223455223026608,0.8127450980392157,0.41141134806974244
39,0.5217071152521585,0.8137254901960784,0.4093465305453655
40,0.5210880709974507,0.8147058823529412,0.407323271986341
41,0.5204870371377466,0.8143790849673203,0.40533946788334374
42,0.519902789591063,0.8143790849673203,0.40339317848406153
43,0.5193342189087218,0.8140522875816993,0.40148261242408056
44,0.5187803181597644,0.8143790849673203,0.39960611225161163
45,0.5182401721947856,0.8156862745098039,0.3977621416014143
46,0.5177129481227735,0.8166666666666667,0.39594927380783995
47,0.5171978868555318,0.8179738562091503,0.39416618177619644
48,0.5166942955925138,0.8179738562091503,0.39241162895649434
49,0.5162015411348035,0.8183006535947713,0.3906844612848014
50,0.5157190439308231,0.8179738562091504,0.38898359997548454
