algorithm,mu,partition_type,alpha,final_auc,convergence_std,avg_weight_drift
FedAvg,0.0,imbalanced,,0.8186274509803922,0.0018615980874021466,0.0
FedProx,0.01,imbalanced,,0.8189542483660132,0.0019013317918678643,0.04810151780920422
FedProx,0.1,imbalanced,,0.8189542483660132,0.0019303188791663624,0.047562295877167565
FedProx,0.5,imbalanced,,0.8163398692810458,0.0017827688492792137,0.04524220955606568
