K,trial,free_rider_auc,global_auc,participating_hospitals
2,1,0.8200606905601574,0.7794117647058825,1
2,2,0.8093168211268762,0.8016339869281045,1
2,3,0.7948002952513737,0.761437908496732,1
2,4,0.8169441482818011,0.7895424836601307,1
2,5,0.8229311900270647,0.7679738562091504,1
2,6,0.8043959648978922,0.7741830065359477,1
2,7,0.8087427212334947,0.788235294117647,1
2,8,0.8349872877880752,0.7983660130718954,1
2,9,0.809070778315427,0.7660130718954249,1
2,10,0.7908636102681867,0.7761437908496731,1
4,1,0.8853609625668449,0.8016339869281046,3
4,2,0.7834224598930482,0.8062091503267974,3
4,3,0.7750668449197862,0.7941176470588236,3
4,4,0.8198529411764706,0.7803921568627451,3
4,5,0.8088235294117647,0.7924836601307189,3
4,6,0.761029411764706,0.7892156862745098,3
4,7,0.8546122994652408,0.8055555555555556,3
4,8,0.8502673796791443,0.7879084967320262,3
4,9,0.8138368983957219,0.7823529411764706,3
4,10,0.8382352941176471,0.7983660130718955,3
6,1,0.8905380333951762,0.7993464052287581,5
6,2,0.7748917748917749,0.7852941176470588,5
6,3,0.7555555555555555,0.7970588235294118,5
6,4,0.782375478927203,0.8042483660130719,5
6,5,0.8444444444444446,0.7944444444444445,5
6,6,0.7478927203065134,0.7898692810457517,5
6,7,0.8360153256704981,0.8019607843137254,5
6,8,0.7908045977011494,0.7999999999999999,5
6,9,0.8911877394636015,0.7941176470588235,5
6,10,0.8022988505747127,0.799673202614379,5
8,1,0.8449197860962567,0.7898692810457516,7
8,2,0.8770053475935828,0.7977124183006536,7
8,3,0.7927807486631016,0.7915032679738562,7
8,4,0.8676470588235294,0.7875816993464053,7
8,5,0.786096256684492,0.800326797385621,7
8,6,0.8676470588235294,0.8032679738562092,7
8,7,0.9010695187165776,0.7934640522875818,7
8,8,0.7259358288770054,0.7915032679738562,7
8,9,0.9197860962566845,0.7947712418300654,7
8,10,0.7941176470588236,0.7944444444444444,7
10,1,0.8997821350762527,0.8019607843137255,9
10,2,0.738562091503268,0.7846405228758171,9
10,3,0.8916129032258064,0.7866013071895426,9
10,4,0.7908496732026143,0.7895424836601308,9
10,5,0.8583877995642701,0.7866013071895425,9
10,6,0.886710239651416,0.79640522875817,9
10,7,0.8082788671023965,0.7921568627450981,9
10,8,0.8400000000000001,0.7928104575163399,9
10,9,0.7995642701525054,0.7957516339869282,9
10,10,0.7864923747276688,0.8127450980392157,9
